Date,CITY,CNT
2020-03-18,KELANIYA,1
2019-12-18,NEGOMBO,2
2020-05-23,HEIYANTHUDUWA,1
2019-06-10,KATUNAYAKE,9
2019-06-17,GOMPOLA,1
2019-09-16,NEGOMBO,3
2019-12-26,JA-ELA WESTERN PROVINCE,1
2020-01-03,BORALESGAMUWA,1
2020-01-21,COLOMBO 3,18
2019-10-14,Kandana,1
2019-12-14,JA ELA,1
2020-02-27,KADAWATHA,4
2020-03-05,COLOMBO 12,2
2019-06-27,PELAWATTA,1
2019-08-17,MORATUWA,1
2019-09-20,RATNAPURA,2
2019-12-14,PELIYAGODA,3
2019-09-04,DELGODA,1
2019-12-06,PILIYANDALA,1
2020-04-21,COLOMBO 7,5
2019-12-28,COLOMBO 4,1
2020-04-09,Ratmalana,6
2019-08-12,BATTARAMULLA,2
2019-10-07,KAPUGODA,4
2019-12-23,VEYANGODA,1
2019-09-18,Bepzbiyagama,2
2019-11-30,RAGAMA,1
2019-10-17,COLOMBO 15,1
2019-12-16,KATUNAYAKE,16
2020-01-31,BIYAGAMA,2
2020-05-19,COLOMBO 13,2
2019-07-11,DOMPE,1
2019-08-03,AVISSAWELLA,4
2019-09-09,MAHARAGAMA,2
2019-12-30,WATTALA,1
2020-05-06,NEGOMBO,1
2020-01-29,COLOMBO 1,9
2020-03-02,MAHARAGAMA,5
2019-07-15,SRI LANKE,1
2019-07-25,MAKOLA,1
2019-09-02,KADUWELA,1
2019-12-12,BIYAGAMA IPZ,6
2020-02-17,KATANA,1
2020-04-18,COLOMBO 5,4
2019-06-22,RAJAGIRIYA,2
2019-07-26,HORANA,2
2019-11-25,KALUTARA,1
2019-07-15,KADAWATHA,5
2020-01-17,MAHARAGAMA,1
2020-02-03,HOMAGAMA,3
2020-02-10,RANALA,2
2020-01-02,COLOMBO,11
2019-06-15,BADALGAMA,1
2019-07-25,BATTARAMULLA,3
2019-08-05,MOUNT LAVINIA,2
2019-08-21,GONAWALA,1
2019-11-02,AVISSAWELLA,5
2019-11-08,MULLERIYAWA NEW TOWN,1
2020-01-23,Heyanthuduwa,1
2020-01-07,JA-ELA,1
2020-05-26,KATANA,1
2019-11-29,HANWELLA,1
2020-03-17,BATTARAMULLA,4
2019-06-24,COLOMBO 5,5
2020-01-17,MULLERIYAWA NEW TOWN,1
2020-03-28,KATUNAYAKE,2
2020-05-09,COLOMBO 2,4
2019-08-06,BATTARAMULLA,2
2020-01-13,MALABE,3
2019-08-01,MORATUWA,3
2019-08-09,COLOMBO 5,5
2020-04-18,DEHIWALA COLOM,1
2019-07-30,JA ELA,1
2019-06-03,PANADURA,3
2019-11-13,KURUNEGALA,1
2020-02-17,MT LAVINIA,1
2019-09-27,NUGEGODA,4
2020-04-23,COLOMBO 3,127
2019-07-02,Ekala,1
2019-10-11,MIRIGAMA,1
2019-11-08,BIYAGAMA IPZ,3
2020-01-24,RANALA,1
2020-05-11,rotitha weeranayaka,1
2019-10-28,MALABE,2
2020-01-06,Ekala,1
2019-09-25,MALWANA,5
2019-10-29,COLOMBO 5,4
2020-05-23,SANDALANKAWA,3
2019-09-30,ANURADHAPURA,1
2019-07-05,COLOMBO 3,44
2019-10-21,BATTARAMULLA,6
2019-10-09,NEGOMBO,1
2020-04-20,MADAMPE,1
2019-06-12,COLOMBO 7,3
2019-08-10,TULHIRIYA,1
2019-12-14,RAJAGIRIYA,4
2020-01-11,MIRIGAMA,1
2020-03-19,COLOMBO 300,1
2019-07-04,MALWANA,1
2019-11-13,BALAPITIYA,2
2019-07-12,PUWAKPITIYA,1
2019-09-17,WATTALA,1
2019-11-15,BADALGAMA,3
2019-12-20,MULLERIYAWA NEW TOWN,1
2019-09-18,PANNIPITIYA,2
2019-09-27,BIYAGAMA,2
2019-10-14,COLOMBO O3,1
2020-03-05,KELANIYA,2
2019-08-19,COLOMBO 2,13
2019-11-27,DEHIWALA,4
2020-02-07,COLOMBO 14,1
2019-07-12,BATTARAMULLA,5
2019-09-28,POTTUVIL,1
2020-03-10,PELIYAGODA,2
2020-03-19,MATALE,1
2019-06-27,LIHIRIYAGAMA,1
2019-08-27,COLOMBO,2
2019-10-28,AVISSAWELLA,2
2019-07-09,BADALGAMA,1
2019-09-09,"GIRIDARA,HANWELLA",1
2019-11-01,COLOMBO 3,49
2019-12-04,DIVULAPITIYA,1
2019-07-05,MATARA,1
2019-07-08,PILIYANDALA,1
2019-10-19,MORATUWA,2
2019-09-20,NUGEGODA,5
2020-01-20,Kohuwala,2
2019-06-13,PELIYAGODA,1
2020-02-07,COLOMBO 11,3
2019-06-29,BIYAGAMA,4
2019-07-10,COLOMBO 1,2
2019-09-23,WESTERN PROVINCE,1
2019-11-06,COLOMBO 6,2
2019-11-28,MALWANA,7
2020-01-11,PUTTALAM,2
2020-05-09,COLOMBO 10,2
2019-06-17,PELIYAGODA,1
2019-07-24,KANDY,1
2020-02-10,MATTEGODA,1
2020-05-12,MAWANELLA,3
2019-07-13,KOTTAWA,1
2019-09-04,COLOMBO,15
2019-09-30,COLOMBO 5,11
2019-09-26,COLOMBO 1,6
2020-02-20,BADALGAMA,2
2020-04-29,GONAWALA,1
2019-07-10,KALUTARA,3
2019-08-19,COLOMBO 11,2
2019-10-05,NEGOMBO,2
2019-10-21,KATUNAYAKE,10
2019-10-24,COLOMBO 4,2
2020-04-22,NAWALA,1
2019-06-22,NUGEGODA,6
2020-01-21,ragama,6
2020-03-04,KANDY,1
2019-08-24,KOLONNAWA,1
2019-11-09,COLOMBO 2,10
2019-10-21,KELANIYA,3
2019-06-05,SEEDUWA,1
2019-06-29,COLOMBO 2,9
2019-11-04,MAHARAGAMA,1
2019-08-03,COLOMBO 8,1
2019-09-27,MORATUWA,7
2019-09-07,MALWANA,8
2019-10-05,KANDANA,1
2019-10-31,KANDALAMA,1
2019-11-21,SANDALANKAWA,2
2020-01-31,COLOMBO 6,3
2019-07-20,RATMALANA,2
2020-03-17,PILIYANDALA,1
2019-08-03,COLOMBO 2,9
2020-01-11,NEGOMBO,4
2020-03-13,KOTTE,2
2019-10-21,MATARA,1
2019-12-20,COLOMBO 12,4
2019-07-08,WELLAMPITIYA,1
2019-08-19,RATHMALDENIYA,1
2020-01-17,HORANA,1
2019-12-23,NUGEGODA,23
2019-07-12,COLOMBO 9,2
2019-10-18,COLOMBO 14,2
2019-12-13,KANDANA,1
2020-01-13,RATNAPURA,1
2020-01-27,RATHMALANA,1
2019-08-09,MARAWILA,1
2019-10-28,COLOMBO 4,2
2019-10-07,ANURADHAPURA,1
2019-12-13,NEGOMBO,5
2020-03-14,SEEDWA,1
2020-04-29,NUGEGODA,1
2020-05-19,KAPUGODA,1
2019-06-06,WATTALA,3
2019-08-16,JA-ELA,1
2019-09-16,BANDARAGAMA,2
2019-12-28,KELANIYA,3
2019-10-03,ANURADHAPURA,2
2019-12-16,KOCHCHIKADE,3
2020-05-11,COLOMBO 15,2
2019-06-19,KANDANA,1
2020-01-27,KAPUGODA,1
2020-02-21,Ratmalana,3
2020-04-27,HOKANDARA,1
2019-06-25,COLOMBO 2,3
2019-07-03,WATTALA,1
2019-08-08,BADALGAMA,1
2019-11-02,Ragama,3
2019-11-23,NEGOMBO,4
2019-09-14,PANNIPITIYA,1
2019-10-21,Ekala,5
2019-11-11,WATTALA,6
2019-10-28,BANDARAGAMA,1
2020-03-17,Nittabuwa,1
2019-10-28,SEEDUWA,1
2019-11-04,COLOMBO 3,69
2020-01-24,KOCHCHIKADE,2
2019-06-17,AVISSAWELLA,3
2019-09-14,COLOMBO 5,10
2019-09-20,MALABE,2
2019-12-23,NAWALA,1
2019-08-10,BIYAGAMA IPZ,1
2019-12-06,BATTARAMULLA,2
2019-11-25,KAPUGODA,3
2020-04-18,HOKANDARA,1
2020-03-19,COLOMBO 8,2
2020-05-13,COLOMBO 5,11
2020-02-10,Nittabuwa,1
2020-03-05,BIYAGAMA,7
2019-06-25,RATMALANA,1
2020-04-20,BADALGAMA,46
2019-08-20,KOHUWALA,1
2019-09-27,POLGASOWITA,1
2019-12-17,SEEDUWA,3
2019-11-08,DANKOTUWA,1
2019-11-13,GALLE,2
2019-11-22,DELGODA,1
2020-01-31,MALWANA,8
2020-02-22,WELANGAHAWATTE,1
2020-02-28,HORANA,1
2020-03-13,MALWANA,8
2019-10-19,BIYAGAMA,6
2019-06-19,HORANA,1
2020-04-27,KOLONNAWA,1
2019-06-10,COLOMBO 13,2
2020-01-27,WATTALA,5
2020-02-03,MADURANKULIYA,1
2020-05-19,DEHIWALA,3
2019-08-29,NORTH CENTRAL,1
2019-12-06,COLOMBO 12,1
2019-12-07,NEBODA,2
2020-02-10,KATUBEDDA,1
2019-07-26,AVISSAWELLA,1
2020-01-20,MT LAVINIA,1
2019-07-19,COLOMBO 10,2
2019-09-09,SIYABALAPE,1
2019-12-27,PANNIPITIYA,1
2020-01-03,Panagoda,3
2020-01-27,DEHIWALA,5
2020-02-06,AVISSAWELLA,3
2019-10-07,KADUWELA,2
2020-05-14,bepzbiyGama,1
2019-11-08,HOKANDARA,1
2020-03-06,WELIGAMA,1
2019-11-27,KULIYAPITIYA,1
2019-12-26,COLOMBO 6,8
2020-01-22,MOUNT LAVINIA,2
2020-02-29,BORALESGAMUWA,1
2020-05-12,GAMPAHA,1
2019-07-05,PITAKOTTE,1
2019-09-02,SANDALANKAWA,1
2019-11-16,COLOMBO 7,1
2019-06-08,PAMUNUGAMA,1
2019-10-05,PUTTALAM,1
2019-12-03,NITTAMBUWA,1
2019-07-31,COLOMBO 13,1
2019-11-26,COLOMBO 1WTC,1
2020-03-10,COLOMBO 15,2
2020-03-13,NAWALAKANDA,1
2020-03-18,BORALESGAMUWA,1
2019-07-12,KELANIYA,4
2019-09-07,COLOMBO 3,41
2019-11-11,Bepzbiyagama,1
2020-01-17,EPITIYA,1
2020-03-10,KOTTAWA PAINN,1
2019-06-29,COLOMBO 14,1
2019-07-10,MINUWANGODA,1
2019-07-31,BADALGAMA,3
2020-06-01,PANADURA,1
2020-05-19,WATTALA,9
2019-07-08,COLOMBO 4,2
2019-07-05,MAHARAGAMA,1
2019-10-26,WATTALA,5
2020-02-22,COLOMBO 8,1
2019-07-13,COLOMBO 5,4
2019-08-30,JA ELA,1
2019-08-05,JA-ELA,4
2019-09-09,KANDANA,2
2019-12-20,MORATUWA,4
2020-02-21,DANKOTUWA,1
2020-02-29,COLOMBO 11,1
2019-07-08,MALWALA JUNCTION,1
2019-07-01,SEEDUWA,1
2019-07-19,BIYASAWA,1
2019-09-28,Mirigama,1
2020-02-05,DEHIWALA - MOUNT LAV,1
2020-05-28,COLOMBO 12,2
2020-01-16,MALWANA,16
2019-07-05,RAGAMA,2
2019-12-20,COLOMBO 9,1
2019-12-14,SANDALANKAWA,1
2019-12-14,COLOMBO,22
2020-02-13,AVISSAWELLA,1
2019-06-25,COLOMBO 14,3
2019-11-20,COLOM 9,1
2020-01-16,KADUWELA,2
2020-02-29,TALAWATUGODA,1
2020-05-19,ANGODA,1
2019-06-26,KATUNAYAKE,4
2019-09-20,COLOMBO 9,1
2020-01-24,COLOMBO 4,4
2019-11-02,WATTALA,11
2019-07-11,COLOMBO 15,1
2019-09-18,MATARA,1
2019-12-30,MEEGODA,1
2020-01-06,Kahathuduwa,1
2020-05-05,PELIYAGODA,1
2020-01-24,COLOMBO 2,6
2019-10-28,ragama,6
2019-09-14,MAHARAGAMA,1
2020-02-12,NEGOMBO,2
2019-10-09,JA ELA,1
2019-10-22,Bepzbiyagama,1
2020-01-18,KANDY,1
2020-03-20,COLOMBO 1,3
2019-12-14,COLOMBO 2,8
2020-01-18,KAPUGODA,1
2019-07-20,WELIGAMA,2
2020-05-05,THIMBIRIGASKATUWA NEG,1
2019-09-12,GALLE,1
2020-03-04,COLOMBO 7,1
2020-04-08,PUGODA,1
2019-12-04,COLOMBO 10,5
2020-02-24,POLGASOWITA,1
2019-09-20,MORATUWA,1
2020-01-30,MEEGODA,1
2020-03-04,KULIYAPITIYA,1
2019-07-11,MOUNT LAVINA,1
2019-12-23,COLOMBO 7,17
2020-01-25,Bepzbiyagama,3
2020-02-28,HOMAGAMA,1
2019-09-30,LINDULA,1
2019-10-16,GAMPAHA,1
2019-11-08,COLOMBO 5,5
2019-11-11,PANNIPITIYA,1
2020-01-22,MALWANA,7
2019-06-14,GALLE,1
2019-07-18,COLOMBO 5,5
2019-11-06,COLOMBO 13,2
2020-03-06,KADAWATHA,2
2020-01-13,JA-ELA,1
2020-04-20,COLOMBO 4,6
2020-04-29,COLOMBO 14,1
2020-03-14,KOTTE,1
2019-10-14,PANNIPITIYA,1
2020-02-28,AVISSAWELLA,2
2019-10-31,HOMAGAMA,1
2019-06-07,COLOMBO 3,20
2019-06-15,BATTARAMULLA,1
2019-12-30,RATNAPURA,1
2020-05-27,Seeduwa,3
2019-08-08,WENNAPPUWA,1
2019-10-21,HORANA,3
2019-12-09,KALUTARA,2
2019-07-15,CHILAW,1
2019-12-30,GAMPAHA,3
2020-01-28,COLOMBO 3,2
2019-08-12,BADALGAMA,3
2019-10-09,DELGODA,1
2019-12-20,HANWELLA,2
2020-05-23,KADAWATHA,1
2019-07-19,MAKOLA,1
2019-07-10,COLOMBO 8,4
2020-02-14,MORATUWA,2
2019-08-19,MOUNT LAVINIA,2
2019-10-03,COLOMBO 7,10
2019-06-17,COLOMBO 6,1
2019-08-07,KADAWATHA,1
2019-10-31,KAMBURUGAMUWA,1
2019-06-14,Kohuwela,1
2019-07-25,RATNAPURA,1
2019-09-26,COLOMBO 8,3
2020-05-27,BRANDIX,1
2019-07-25,RATMALANA,2
2019-11-06,NEBODA,2
2020-04-28,KANDY,1
2019-11-02,RAJAGIRIYA,3
2019-11-13,NAGODA,1
2019-11-22,COLOMBO,23
2020-04-20,MAKOLA,6
2019-11-22,COLOMBO 8,3
2019-11-09,COLOMBO 4,3
2020-01-20,NITTAMBUWA,3
2020-03-17,COLOMBO 10,9
2019-06-03,KURUNEGALA,1
2019-09-09,BADALGAMA,2
2019-11-18,AVISSAWELLA,4
2019-12-05,NUGEGODA,6
2020-02-15,COLOMBO,21
2020-02-10,IBBAGAMUWA,1
2020-02-03,KOCHCHIKADE,6
2020-03-19,COLOMBO,21
2020-05-04,Ragama,7
2019-11-01,COLOMBO 7,3
2020-01-25,BALANGODA,1
2020-04-20,THIMBIRIGASKATTUWA NEGOM,1
2020-05-13,NUGEGODA,5
2019-09-20,BIYAGAMA,3
2019-09-30,"KOHUWALA ",3
2020-03-20,MAKOLA,3
2020-04-24,DANKOTUWA,2
2020-04-27,TALAWATUGODA,1
2019-09-07,NEGOMBO,4
2020-02-25,Dalgoda,1
2019-11-29,COLOMBO 1,8
2019-12-07,KATUNAYAKE (FTZ),1
2020-01-31,HORANA,1
2020-02-25,KATUNAYAKE,1
2019-10-26,COLOMBO 12,2
2019-11-14,COLOMBO 5,2
2019-06-14,COLOMBO 11,2
2019-06-18,GALLE,1
2019-07-30,MALWANA,1
2020-01-02,KELANIYA,4
2020-04-20,COLOMBO W T C,1
2019-08-13,NEGOMBO,2
2019-10-01,COLOMBO 1,3
2019-10-07,KOHUWALA,6
2020-02-24,BIYAGAMA,14
2019-08-03,GOTHATUWA,1
2019-08-13,COLOMBO 7,6
2019-08-30,MALWANA,6
2019-09-16,COLOMBO 13,2
2019-10-24,SEEDUWA,3
2019-10-26,NITTAMBUWA,3
2019-06-22,AVISSAWELLA,1
2020-02-22,RAJAGIRIYA,3
2019-08-05,COLOMBO,44
2020-01-22,KOHILAGEDARA,1
2020-01-24,MALABE,2
2020-03-05,COLOMBO 14,1
2020-01-13,KOHUWALA,1
2019-08-26,BERUWALA,1
2020-02-05,PANNIPITIYA,3
2020-02-29,COLOMBO 5,4
2020-05-12,WATTALA,16
2019-08-15,Bepz biyagama,14
2019-10-12,GAMPAHA,2
2019-06-18,DEHIWALA,1
2019-08-21,NUGEGODA,1
2019-12-10,ANURADHAPURA,1
2019-09-02,GONAWALA,1
2020-01-25,NUGEGODA,11
2019-06-05,COLOMBO 6,2
2019-06-25,COLOMBO 8,1
2019-08-28,CHILAW,1
2019-12-05,KATUNAYAKE,7
2020-03-04,KATUNAYAKE,3
2019-08-01,WELLAMPITIYA,1
2019-12-04,HEIYANTHUDUWA,1
2019-11-01,COLOMBO 14,2
2019-07-11,PITA KOTTE 0000,1
2019-12-23,GALLE,7
2019-06-24,KATUNAYAKE,14
2019-07-31,Negombo,4
2019-12-16,HOMAGAMA,1
2020-02-17,MORATUWA,3
2020-02-29,RATMALANA,3
2019-07-19,DIVULAPITIYA,1
2020-04-18,COLOMBO 11,5
2019-06-10,COLOMBO 3,40
2019-10-16,MAWANELLA,1
2020-03-11,UDUGAMPOLA,1
2019-06-24,GALLE,4
2019-07-19,KURUNEGALA,2
2020-02-13,GONAWALA,1
2019-08-26,SEEDUWA,1
2019-10-12,Mawanella,1
2019-11-01,COLOMBO 11,1
2019-07-23,COLOMBO 3,1
2019-09-02,BADALGAMA,3
2019-07-15,NAWANA,1
2019-12-20,BIYAGAMA,8
2019-08-19,COLOMBO 8,1
2020-01-30,Kohuwala,1
2020-02-24,DEHIWALA,9
2019-08-13,MALWANA,4
2019-06-21,KADAWATHA,3
2020-05-18,AMBALANGODA,1
2019-11-02,BUTTALA,1
2020-03-02,PANADURA,6
2020-01-22,SEEDUWA,1
2020-05-05,COLOMBO 3,22
2019-07-08,SEEDUWA,2
2020-02-01,MORATUWA,1
2019-09-21,KADAWATHA,5
2019-11-09,RATMALWALA,2
2020-05-09,MADAMPE,1
2019-12-28,COLOMBO 2,7
2020-01-24,AVISSAWELLA,1
2020-02-18,ANURADHAPURA,1
2020-02-29,WENNAPPUWA,1
2019-09-05,JA ELA,1
2019-12-16,COLOMBO 9,3
2020-05-22,BIYAGAMA,1
2020-01-01,"KATUNAYAKE ",2
2020-01-27,MEEGODA,1
2020-02-10,PILIYANDALA,4
2020-03-17,KALUTARA,3
2019-09-04,COLOMBO 2,1
2020-01-11,COLOMBO 13,2
2019-09-07,BIYAGAMA,1
2019-10-31,MAKOLA,1
2020-01-20,DELGODA,2
2019-10-23,PANADURA,1
2019-12-16,HORANA,2
2020-04-20,GAMPAHA,4
2019-06-06,KAPUGODA,1
2019-06-07,MATARA,1
2019-06-13,COLOMBO 4,2
2019-07-26,COLOMBO 6,2
2020-03-05,BATTARAMULLA,3
2019-06-03,MAHARAGAMA,1
2020-04-18,BORALESGAMUWA,6
2019-12-05,COLOMBO 4,2
2019-12-30,COLOMBO 1,11
2020-01-03,COLOMBO 5,3
2019-10-05,BADALGAMA,1
2019-07-26,KATUNAYAKE,14
2019-11-13,DEHIWALA,7
2019-11-23,BINGIRIYA,1
2020-03-05,COLOMBO 2,5
2020-05-26,ATTDIYA,1
2019-12-13,WANALUWEWA,1
2019-09-20,POLGASOWITA,1
2019-10-02,Ekala,6
2020-04-18,KADUWELA,1
2019-11-07,COLOMBO 5,7
2020-01-17,PADUKKA,1
2019-08-03,COLOMBO 11,2
2019-08-09,RAJAGIRIYA,4
2020-03-11,WATTALA,4
2019-11-25,BORALESGAMUWA,4
2019-12-23,BERUWALA,1
2020-03-14,MALWANA,9
2020-04-28,KURUNEGALA,1
2019-10-25,COLOMBO 14,2
2019-09-06,COLOMBO 1,10
2019-11-07,DANKOTUWA,1
2019-10-10,NUGEGODA,4
2019-10-15,COLOMBO 9,1
2020-01-13,COLOMBO,38
2020-01-17,LUNUWILA,1
2019-11-04,KOHUWALA,1
2020-02-03,KATUNAYAKE,13
2020-02-12,MALWANA,7
2020-04-24,DELGODA,3
2020-02-20,COLOMBO 13,2
2020-04-27,DANKOTUWA,1
2020-05-09,COLOMBO 4,1
2019-11-01,COLOMBO 15,2
2020-02-19,BADALGAMA,2
2019-06-13,KOCHCHIKADE,1
2019-08-21,MORATUWA,2
2019-10-16,COLOMBO 1,3
2019-11-08,COLOMBO 12,2
2019-07-27,BIYAGAMA,1
2019-08-16,COLOMBO 1,7
2019-11-19,COLOMBO 5,3
2019-12-04,KATUNAYAKE,6
2019-12-19,COLOMBO 9,6
2019-08-15,AKARAGAMA,1
2020-02-01,DEHIWALA,3
2019-12-21,COLOMBO 10,7
2019-12-26,KURUNEGALA,1
2020-03-06,MAHARAGAMA,1
2019-07-01,COLOMBO 5,7
2019-08-24,WATTALA,8
2019-07-19,COLOMBO 11,2
2020-02-06,KANDY,1
2020-04-11,COLOMBO 3,1
2019-08-05,SRI PALABADDALA,1
2019-09-20,KALTOTA,1
2020-05-26,AVISSAWELLA,1
2019-07-27,COLOMBO 9,2
2019-10-10,SEEDUWA,2
2019-11-11,NITTAMBUWA,5
2019-06-01,COLOMBO 7,3
2019-08-06,KOCHCHIKADE,1
2019-09-09,"EKALA, JA ELA.",1
2019-12-19,GAMPAHA,1
2020-01-17,BIYAGAMA,6
2019-09-19,KELANIYA,2
2019-12-07,GOMPOLA,1
2019-12-12,JA-ELA,1
2020-05-19,WELLAMPITIYA,1
2019-06-18,KATUNAYAKE,9
2019-06-28,EKALA,1
2019-07-20,MALABE,1
2019-12-17,COLOMBO 1,2
2019-07-25,COLOMBO 1,8
2019-09-24,WENNAPPUWA,1
2020-01-23,COLOMBO 13,1
2020-01-24,KADAWATHA,4
2020-03-27,COLOMBO 3,17
2020-03-19,KANDY,2
2019-07-13,PELIYAGODA,1
2019-11-22,BIYAGAMA,4
2020-02-27,HOKANDARA,1
2020-03-31,NUGEGODA,5
2019-10-29,MADAPATHA,1
2019-08-12,COLOMBO 2,5
2019-10-04,MALABE,2
2019-09-02,COLOMBO 100100,1
2019-09-10,HEIYANTHUDUWA,1
2020-02-28,COLOMBO 7,5
2019-10-09,GAMPOLA,1
2019-11-04,"EKALA, JA ELA",1
2019-12-06,COLOMBO 14,3
2020-01-20,COLOMBO 7,12
2020-01-21,Awissavella,11
2020-05-15,VIHARAPALUGAMA,1
2020-01-02,WATTALA,1
2020-01-11,MAKOLA,1
2020-02-13,Ekala,1
2019-09-21,COLOMBO 13,1
2019-10-08,MALABE,1
2020-02-24,WELLAMPITIYA,2
2020-04-02,RATMALANA,2
2019-07-30,EKALA,1
2020-03-07,WENNAPPUWA,1
2020-04-08,MAROLA,1
2019-08-20,COLOMBO 7,1
2019-10-21,ELAPITIWALA,1
2019-10-05,SANDALANKAWA,3
2019-11-26,PADUKKA,1
2019-12-26,WATTALA,1
2019-06-13,COLOMBO,80
2019-07-31,DAMBULLA,1
2019-10-17,KELANIYA,3
2019-06-17,COLOMBO,86
2020-05-13,NEBODA,1
2020-03-11,MALWANA,7
2020-05-21,KADAWATHA,3
2019-07-15,COLOMBO 10,3
2019-10-07,KOSOGODA,1
2019-08-13,Bepzbiyagama,1
2019-10-09,KADAWATHA,2
2019-12-13,VIJITHAPURA,1
2020-02-05,Dehlwela,1
2019-08-03,Wathupitiwala,2
2019-08-15,COLOMBO 6,1
2019-10-14,KATUNAYAKE,15
2019-10-21,KOCHCHIKADE,1
2019-06-17,MALABE,1
2019-11-15,BIYAGAMA,1
2020-05-27,WELMILLA JUNCTION,1
2019-06-01,SRAVASTHIPURA,1
2019-07-30,HEIYANTHUDUWA,1
2020-02-22,COLOMBO 3,44
2019-06-17,KURUNEGALA,1
2019-08-15,AVISSAWELLA,1
2019-07-06,NUGEGODA,7
2020-03-10,COLOMBO 3,124
2020-04-20,SEEDUWA,2
2019-12-27,HABARADUWA,1
2020-01-18,COLOMBO 1,4
2020-04-03,COLOMBO 6,1
2020-02-03,TITTAPATTARA,1
2020-03-27,KADAWATHA,5
2019-09-25,EKALA,1
2019-12-23,PELIYAGODA,1
2019-07-18,NEGOMBO,1
2019-09-20,COLOMBO 4,3
2019-10-04,COLOMBO,25
2019-10-22,RANALA,2
2019-12-13,KADAWATHA,3
2019-11-18,KOHUWALA,1
2019-12-02,NAWANA,1
2020-02-27,COLOMBO 11,1
2019-10-10,RATMALANA,1
2019-10-10,COLOMBO 2,6
2020-04-06,ANGODA,1
2020-01-09,KATUNAYAKE,5
2020-02-07,MALWANA,6
2020-05-12,COLMBO 8,1
2019-09-24,KOTTE,1
2020-05-23,DELGODA,1
2019-07-17,HOMAGAMA,1
2019-08-13,KEGALLE,1
2019-12-02,HORANA,2
2020-01-20,MALIYADDA,1
2020-02-13,WENNAPPUWA,1
2019-06-18,MEEGODA,1
2019-12-06,"PANNIPITIYA,SRI LANKA",1
2019-07-26,KEGALLE,1
2019-09-02,MALABE,2
2019-09-20,RATMALANA,3
2019-11-14,KATUNAYAKE,12
2019-11-15,SANDALANKAWA,1
2019-11-27,COLOMBO 5,6
2019-12-16,COLOMBO 5,12
2019-06-28,GALLE,2
2019-08-02,HOMAGAMA,1
2020-03-07,KANDY,1
2020-03-13,DIVULAPITIYA,1
2019-08-03,BIYAGAMA IPZ,4
2019-06-14,KATUNAYAKE,16
2020-01-25,KATUNAYAKE,13
2019-08-19,WATTALA,4
2019-09-28,MALWANA,13
2019-10-31,PELAWATTA,1
2019-11-28,PELIYAGODA,5
2019-08-22,BERUWALA,1
2019-09-21,COLOMBO 5,8
2020-02-07,HOMAGAMA,2
2019-08-05,BORALESGAMUWA,4
2019-10-29,HOMAGAMA,3
2019-12-04,ALUTHWALA,1
2019-08-10,DEHIWALA,2
2019-11-13,KADAWATHA,2
2019-12-07,PANADURA,2
2020-02-28,GONAWALA,2
2020-03-10,BATTARAMULLA,3
2019-08-05,PILIYANDALA,2
2019-09-24,BORALESGAMUWA,1
2019-10-19,I P Z KATUNANYAKE,1
2020-01-30,HORANA,1
2020-03-11,GALLE,1
2020-02-01,GAMPAHA,1
2020-02-03,WARAKAPOLA,1
2019-09-12,WEERAWILA,1
2019-11-18,COLOMBO 10,14
2019-08-15,KATUNAYAKE (FTZ),4
2019-06-26,BANDARAGAMA,1
2019-09-02,COLOMBO,33
2019-12-30,DANKOTUWA,1
2019-12-30,COLOMBO 14,3
2020-01-24,MAKOLA,1
2020-02-10,HEIYANTHUDUWA,1
2020-03-05,AVISSAWELLA,2
2019-12-23,COLOMBO 6,7
2020-02-28,WALGAMA,1
2019-06-03,PELIYAGODA,1
2019-07-27,COLOMBO,62
2019-07-13,NEGOMBO,1
2019-08-19,BIYAGAMA IPZ,11
2019-12-16,RAJAGIRIYA,8
2019-06-22,BANDARAGAMA,1
2019-09-24,MALWANA,2
2020-02-15,COLOMBO 6,2
2019-12-04,DEHIWALA,2
2019-07-22,GAMPAHA,22
2019-11-18,NITTAMBUWA,8
2019-07-08,MAKOLA,1
2020-01-02,KADAWATHA,1
2019-08-17,SEEDUWA,2
2019-09-26,COLOMBO 14,1
2019-08-01,COLOMBO 2,8
2020-02-03,POLGASOWITA,1
2020-03-12,KANDANA,2
2020-03-14,DIVULAPITIYA,2
2019-08-05,RATMALE,1
2019-09-02,COLOMBO 12,1
2019-11-11,KOHUWALA,1
2020-01-28,COLOMBO,2
2020-03-17,COLOMBO,33
2020-05-30,DEHIWALA,2
2019-10-08,Delgoda,1
2019-12-05,THIMBIRIGASKATTUWA NEGOM,1
2019-07-29,HABARAKADA,1
2019-10-02,JA-ELA,2
2019-06-08,BINGIRIYA,1
2019-11-08,Bepzbiyagama,1
2019-12-11,Ekala,1
2020-02-21,ANURADHAPURA,1
2019-12-21,BALAPITIYA,1
2019-08-12,COLOMBO 4,1
2019-08-30,COLOMBO 14,3
2020-05-27,TELWATTA,1
2019-09-30,COLOMBO 7,8
2019-09-30,"EKALA, JA ELA",1
2019-10-16,COLOMBO 14,2
2020-03-10,KELANIYA,6
2019-10-11,GANEMULLA,1
2019-11-28,KANDY,3
2019-12-23,COLOMBO 4,2
2019-07-26,RAJAGIRIYA,2
2020-04-08,BATTARAMULLA,1
2020-02-20,MATARA,1
2019-06-15,MORATUWA,1
2019-10-21,COLOMBO 15,2
